CBSA,city,latitude,longitude
47900,Washington-Arlington-Alexandria,38.9072,-77.0369
38300,Pittsburgh,40.4406,-79.9959
16980,Chicago-Naperville-Elgin,41.8781,-87.6298
26420,Houston-The Woodlands-Sugar Land,29.7604,-95.3698
35620,New York-Newark-Jersey City,40.7128,-74.006
19820,Detroit-Warren-Dearborn,42.3314,-83.0458
33100,Miami-Fort Lauderdale-Pompano Beach,25.7617,-80.1918
31080,Los Angeles-Long Beach-Anaheim,34.0522,-118.2437
42660,Seattle-Tacoma-Bellevue,47.6062,-122.3321
37980,Philadelphia-Camden-Wilmington,39.9526,-75.1652
38060,Phoenix-Mesa-Chandler,33.4484,-112.074
14460,Boston-Cambridge-Newton,42.3601,-71.0589
41860,San Francisco-Oakland-Berkeley,37.7749,-122.4194
40140,Riverside-San Bernardino-Ontario,33.9806,-117.3755
33460,Minneapolis-St. Paul-Bloomington,44.9778,-93.265
41740,San Diego-Chula Vista-Carlsbad,32.7157,-117.1611
45300,Tampa-St. Petersburg-Clearwater,27.9506,-82.4572
19740,Denver-Aurora-Lakewood,39.7392,-104.9903
12060,Atlanta-Sandy Springs-Alpharetta,33.749,-84.388
16740,Charlotte-Concord-Gastonia,35.2271,-80.8431
40900,Sacramento-Roseville-Folsom,38.5816,-121.4944
41180,St. Louis,38.627,-90.1994
27260,Jacksonville,30.3322,-81.6557
36740,Orlando-Kissimmee-Sanford,28.5384,-81.3789
41700,San Antonio-New Braunfels,29.4241,-98.4936
38900,Portland-Vancouver-Hillsboro,45.5152,-122.6784
29820,Las Vegas-Henderson-Paradise,36.1699,-115.1398
19100,Dallas-Fort Worth-Arlington,32.7767,-96.797
28140,Kansas City,39.0997,-94.5786
18140,Columbus,39.9612,-82.9988
13820,Birmingham-Hoover,33.5207,-86.8025
26900,Indianapolis-Carmel-Anderson,39.7684,-86.1581
17460,Cleveland-Elyria,41.4993,-81.6944
12580,Baltimore-Columbia-Towson,39.2904,-76.6122
41940,San Jose-Sunnyvale-Santa Clara,37.3382,-121.8863
34980,Nashville-Davidson--Murfreesboro--Franklin,36.1627,-86.7816
47260,Virginia Beach-Norfolk-Newport News,36.8529,-75.978
39300,Providence-Warwick,41.824,-71.4128
33340,Milwaukee-Waukesha,43.0389,-87.9065
36420,Oklahoma City,35.4676,-97.5164
32820,Memphis,35.1495,-90.049
40060,Richmond,37.5407,-77.436
35380,New Orleans-Metairie,29.9511,-90.0715
31140,Louisville/Jefferson County,38.2527,-85.7585
41620,Salt Lake City,40.7608,-111.891
39580,Raleigh-Cary,35.7796,-78.6382
25540,Hartford-East Hartford-Middletown,41.7658,-72.6734
15380,Buffalo-Cheektowaga,42.8864,-78.8784
17140,Cincinnati,39.1031,-84.512
12420,Austin-Round Rock-Georgetown,30.2672,-97.7431
